secID,code,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity,stop,industry,area,timeToMarket,holders
600099.XSHG,600099,XSHG,1.0,主板,CNY,林海股份,林海股份有限公司,L,1997/7/4,,A,沪深A股,CHN,682.0,219120000.0,219120000.0,219120000.0,江苏省泰州市迎春西路199号,营林机械、喷灌机械、木材采运设备、内燃机、摩托车、助力车、消防机械、微型汽车及以上产品配件的制造和销售。,2017/9/30,467742506.0,False,摩托车,江苏,19970704,14100
600100.XSHG,600100,XSHG,1.0,主板,CNY,同方股份,同方股份有限公司,L,1997/6/27,,A,沪深A股,CHN,683.0,2963898900.0,2197882200.0,2197882200.0,北京市海淀区清华同方科技大厦A座29层,信息和能源环保产业。,2017/9/30,23888313766.0,False,电脑设备,北京,19970627,227793
600101.XSHG,600101,XSHG,1.0,主板,CNY,明星电力,四川明星电力股份有限公司,L,1997/6/27,,A,沪深A股,CHN,684.0,324179000.0,324179000.0,324179000.0,四川省遂宁市开发区明月路88号,"电力生产、销售,电力设备的生产、安装、销售和电力技术咨询;自来水生产、销售,以及宾馆服务等。",2017/9/30,2077179747.0,False,水力发电,四川,19970627,37300
600103.XSHG,600103,XSHG,1.0,主板,CNY,青山纸业,福建省青山纸业股份有限公司,L,1997/7/3,,A,沪深A股,CHN,686.0,1773706000.0,1061841600.0,1061841600.0,福建省三明市沙县青州镇,主要从事纸袋纸、板纸及瓦楞纸系列产品、碱、电产品、光电子产品、医药产品、木材等产品的产销及其贸易经营。,2017/9/30,3481999848.0,False,造纸,福建,19970703,123142
600104.XSHG,600104,XSHG,1.0,主板,CNY,上汽集团,上海汽车集团股份有限公司,L,1997/11/25,,A,沪深A股,CHN,687.0,11683461400.0,11503432900.0,11503432900.0,上海市静安区威海路489号,"汽车、摩托车、拖拉机等各种机动车整车、总成及零部件的生产、销售、物业管理、国内贸易(除专项规定)、咨询服务业,经营自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务(国家限定公司经营或禁止进出口的商品及技术除外),包括公司控股的企业。",2017/9/30,257802000000.0,False,汽车整车,上海,19971125,102400
600105.XSHG,600105,XSHG,1.0,主板,CNY,永鼎股份,江苏永鼎股份有限公司,L,1997/9/29,,A,沪深A股,CHN,688.0,963893100.0,761909300.0,761909300.0,江苏省苏州市吴江区黎里镇318国道74K处芦墟段北侧,房地产、光缆、电缆及通讯设备、海外工程承揽、宽带网络工程的制造和销售。,2017/9/30,3013286343.0,False,通信设备,江苏,19970929,60307
600106.XSHG,600106,XSHG,1.0,主板,CNY,重庆路桥,重庆路桥股份有限公司,L,1997/6/18,,A,沪深A股,CHN,689.0,998516200.0,998516200.0,998516200.0,重庆市南坪经济技术开发区丹龙路11号,"桥梁道路经营管理和基础设施建设承包,报告期内主营业务收入、主营业务利润来自于长江石板坡大桥、牛角沱嘉陵江大桥、石门嘉陵江大桥、重庆南山旅游公路和资威公司(资中段)的过路过桥收费和建设工程承包。",2017/9/30,3560643734.0,False,路桥,重庆,19970618,62900
600107.XSHG,600107,XSHG,1.0,主板,CNY,美尔雅,湖北美尔雅股份有限公司,L,1997/11/6,,A,沪深A股,CHN,690.0,360000000.0,360000000.0,360000000.0,湖北省黄石市团城山开发区美尔雅工业园,服装、服饰和纺织品研发、设计、制造和销售;自营和代理各类商品和技术的进出口(不含国家限定和禁止类业务);房屋租赁;仓储(不含有毒、有害化学危险品);投资酒店业及政策允许的其他产业。,2017/9/30,583345661.5,False,服饰,湖北,19971106,27350
600108.XSHG,600108,XSHG,1.0,主板,CNY,亚盛集团,甘肃亚盛实业(集团)股份有限公司,L,1997/8/18,,A,沪深A股,CHN,691.0,1946915100.0,1946915100.0,1946915100.0,甘肃省兰州市城关区雁兴路21号,农业高科技产业化。,2017/9/30,4756385815.0,False,农业综合,甘肃,19970818,167903
600109.XSHG,600109,XSHG,1.0,主板,CNY,国金证券,国金证券股份有限公司,L,1997/8/7,,A,沪深A股,CHN,692.0,3024359300.0,3024359300.0,3024359300.0,四川省成都市青羊区东城根上街95号成证大厦16楼,证券经纪业务。,2017/9/30,18506847211.0,False,证券,四川,19970807,148300
600110.XSHG,600110,XSHG,1.0,主板,CNY,诺德股份,诺德投资股份有限公司,L,1997/10/7,,A,沪深A股,CHN,693.0,1150312100.0,1150312100.0,1150312100.0,广东省深圳市南山区深南大道9672号华润城大冲商务中心D座21层,"热缩、冷缩材料,铜箔、履铜板及铜箔工业生产的专用设备,石油和化工产品,合成橡胶等高技术、新材料、新产品的开发、生产与经营;辐射加工;非标设备和机械配件加工;本企业产品及相关产品的安装、施工和技术咨询、技术服务;有色金属贸易(国家限定的禁止除外)。",2017/9/30,2331031515.0,False,电气设备,吉林,19971007,94926
600111.XSHG,600111,XSHG,1.0,主板,CNY,北方稀土,中国北方稀土(集团)高科技股份有限公司,L,1997/9/24,,A,沪深A股,CHN,694.0,3633066000.0,3633066000.0,3633066000.0,内蒙古自治区包头市稀土高新技术产业开发区黄河路83号,"(国家法律、法规规定应经审批未获审批前不得生产经营)稀土精矿、稀土深加工产品、稀土新材料生产与销售、稀土高科技应用产品的开发、生产与销售;出口本企业生产的稀土产品、充电电池、五金化工产品(国家组织统一联合经营的16种出口商品除外);进口本企业生产、科研所需的原辅材料、机器设备、仪器仪表及零配件;生产、销售冶金、化工产品(专营除外),技术咨询、信息服务;建筑安装、修理(除专营);铁精粉的生产与销售;铌精矿及其深加工产品的生产与销售。",2017/9/30,10550335497.0,False,小金属,内蒙,19970924,350135
600112.XSHG,600112,XSHG,1.0,主板,CNY,*ST天成,贵州长征天成控股股份有限公司,L,1997/11/27,,A,沪深A股,CHN,695.0,509204800.0,509204800.0,509204800.0,贵州省遵义市武汉路临1号长征电气工业园,"高、中、低压电器元件及成套设备,风力发电设备的设计、研制、生产、销售及售后服务,电气技术开发、咨询及服务,精密模具,机械加工,矿产品开采,矿产品加工,矿产品经营。",2017/9/30,1182724048.0,False,电气设备,贵州,19971127,46270
600113.XSHG,600113,XSHG,1.0,主板,CNY,浙江东日,浙江东日股份有限公司,L,1997/10/21,,A,沪深A股,CHN,696.0,318600000.0,318600000.0,318600000.0,浙江省温州市矮凳桥92号,教育产业投资、专业市场租赁、房地产开发。,2017/9/30,647044747.8,False,区域地产,浙江,19971021,34200
600114.XSHG,600114,XSHG,1.0,主板,CNY,东睦股份,东睦新材料集团股份有限公司,L,2004/5/11,,A,沪深A股,CHN,697.0,436347600.0,421282600.0,421282600.0,浙江省宁波市鄞州工业园区(姜山)景江路8号,"粉末冶金结构零件,主要应用于汽车(包括轿车)、家用制冷压缩机(空调和冰箱)、摩托车、电动工具、办公机械和工程机械等。",2017/9/30,2612028989.0,False,机械基件,浙江,20040511,20700
600115.XSHG,600115,XSHG,1.0,主板,CNY,东方航空,中国东方航空股份有限公司,L,1997/11/5,,A,沪深A股,CHN,698.0,14467585700.0,14467585700.0,9808485700.0,上海市长宁区空港三路92号,航空客、货、邮、行李运输业务及延伸服务;通用航空业务;航空器维修;航空设备制造与维修;国内外航空公司的代理业务。,2017/9/30,58077000000.0,False,空运,上海,19971105,221100
600116.XSHG,600116,XSHG,1.0,主板,CNY,三峡水利,重庆三峡水利电力(集团)股份有限公司,L,1997/8/4,,A,沪深A股,CHN,699.0,993005500.0,888005500.0,888005500.0,重庆市渝中区邹容路68号大都会商厦3611室,发电、供电。,2017/9/30,2599692992.0,False,水力发电,重庆,19970804,64000
600117.XSHG,600117,XSHG,1.0,主板,CNY,西宁特钢,西宁特殊钢股份有限公司,L,1997/10/15,,A,沪深A股,CHN,700.0,1045118300.0,741219300.0,741219300.0,青海省西宁市柴达木西路52号,特殊钢冶炼及压延加工、棒材及钢筋生产、机械设备制造、来料加工、副产品出售;科技咨询、技术协作等业务。,2017/9/30,3428764838.0,False,特种钢,青海,19971015,72700
600118.XSHG,600118,XSHG,1.0,主板,CNY,中国卫星,中国东方红卫星股份有限公司,L,1997/9/8,,A,沪深A股,CHN,701.0,1182489100.0,1182489100.0,1182489100.0,北京市海淀区中关村南大街31号神舟科技大厦12层,卫星及相关产品、航天技术应用及相关产品的研发、设计、制造、销售。,2017/9/30,5943137812.0,False,航空,北京,19970908,145533
600119.XSHG,600119,XSHG,1.0,主板,CNY,长江投资,长发集团长江投资实业股份有限公司,L,1998/1/15,,A,沪深A股,CHN,702.0,307400000.0,307400000.0,307400000.0,上海市静安区永和路118弄35号,实业投资、国内贸易、房地产、信息咨询服务、住宿、饮食和其他食品(含烟)。,2017/9/30,1148460095.0,False,仓储物流,上海,19980115,42182
600120.XSHG,600120,XSHG,1.0,主板,CNY,浙江东方,浙江东方集团股份有限公司,L,1997/12/1,,A,沪深A股,CHN,703.0,672606300.0,505473500.0,505473500.0,浙江省杭州市西湖大道12号,"以棉、毛、丝、麻、晴纶为原料的针织、梭织服装,服饰和家用纺织品的出口业务及纺织品所需的原辅料、染化料、机械设备等进口业务及房地产开发与经营。",2017/9/30,10164452069.0,False,商贸代理,浙江,19971201,46553
600121.XSHG,600121,XSHG,1.0,主板,CNY,*ST郑煤,郑州煤电股份有限公司,L,1998/1/7,,A,沪深A股,CHN,704.0,1015343400.0,1015343400.0,1015343400.0,河南省郑州市中原西路188号,"煤炭生产及销售,发电及输变电。",2017/9/30,4489863750.0,False,煤炭开采,河南,19980107,46200
600122.XSHG,600122,XSHG,1.0,主板,CNY,宏图高科,江苏宏图高科技股份有限公司,L,1998/4/20,,A,沪深A股,CHN,705.0,1157718400.0,1157718400.0,1157718400.0,江苏省南京市雨花台区软件大道68号,电子计算机网络工程设计、施工、安装;电子计算机及配件、通信设备(不含卫星地面接收设施)开发、研制、生产、销售及售后服务与咨询;摄影器材、金属材料、建筑装饰材料、五金交电(不含助力车)、水暖器材、陶瓷制品、电器机械、汽配、百货、针纺织品、电子辞典(非出版物)、计算器、文教办公用品销售;家电维修;实业投资;投资管理;房地产开发经营;自营和代理各类商品和技术的进出口(但国家限定公司经营和禁止进出口的商品和技术除外)。,2017/9/30,9117303419.0,False,其他商业,江苏,19980420,71356
600123.XSHG,600123,XSHG,1.0,主板,CNY,兰花科创,山西兰花科技创业股份有限公司,L,1998/12/17,,A,沪深A股,CHN,706.0,1142400000.0,1142400000.0,1142400000.0,山西省晋城市凤台东街2288号兰花科技大厦,煤炭、型煤、化工产品、建筑材料的生产、销售。,2017/9/30,10216809759.0,False,煤炭开采,山西,19981217,68981
600125.XSHG,600125,XSHG,1.0,主板,CNY,铁龙物流,中铁铁龙集装箱物流股份有限公司,L,1998/5/11,,A,沪深A股,CHN,707.0,1305521900.0,1305521900.0,1305521900.0,辽宁省大连市中山区新安街1号,主要包括铁路特种集装箱业务、铁路货运及临港物流业务、房地产业务、铁路客运业务等。,2017/9/30,5231371798.0,False,铁路,辽宁,19980511,127400
600126.XSHG,600126,XSHG,1.0,主板,CNY,杭钢股份,杭州钢铁股份有限公司,L,1998/3/11,,A,沪深A股,CHN,708.0,2597837800.0,926986000.0,926986000.0,浙江省杭州市拱墅区半山路178号,"钢铁及压延产品、焦炭及其副产品的生产、销售;冶金、焦化的技术开发、协作、咨询、服务与培训,经营进出口业务(国家法律法规限制或禁止的项目除外),建筑施工,起重机械、压力容器管道特种设备制作、安装、检修(凭有效许可证件经营)。",2017/9/30,16126211584.0,False,普钢,浙江,19980311,45320
600127.XSHG,600127,XSHG,1.0,主板,CNY,金健米业,金健米业股份有限公司,L,1998/5/6,,A,沪深A股,CHN,709.0,641783200.0,641783200.0,641783200.0,湖南省常德市常德经济技术开发区德山办事处莲池居委会崇德路158号,"开发、生产、销售粮油及制品、新型食品、农副产品、生产经营常规优质稻种子,提供旅游服务;经营公司自产产品及相关技术设备的进出口业务。",2017/9/30,794940467.6,False,农业综合,湖南,19980506,81352
600128.XSHG,600128,XSHG,1.0,主板,CNY,弘业股份,江苏弘业股份有限公司,L,1997/9/1,,A,沪深A股,CHN,710.0,246767500.0,246767500.0,246767500.0,江苏省南京市中华路50号弘业大厦,"各类商品和技术的进出口(国家限定或禁止的商品及技术除外),从事“三来一补”业务,开展实业投资、国内贸易。",2017/9/30,1545544480.0,False,商贸代理,江苏,19970901,27868
600129.XSHG,600129,XSHG,1.0,主板,CNY,太极集团,重庆太极实业(集团)股份有限公司,L,1997/11/18,,A,沪深A股,CHN,711.0,426894000.0,426894000.0,426894000.0,重庆市涪陵区太极大道1号,中成药、西药、保健用品、医疗包装制品、医疗器械产销及原材料、中药材药用包装的进出口业务。,2017/9/30,1221889256.0,False,中成药,重庆,19971118,41470
600130.XSHG,600130,XSHG,1.0,主板,CNY,波导股份,宁波波导股份有限公司,L,2000/7/6,,A,沪深A股,CHN,712.0,768000000.0,768000000.0,768000000.0,浙江省奉化市大成东路999号,"国产手机首批定点生产厂家之一,主要从事电子通讯产品、通讯系统、计算机及配件、现代办公设备的研究开发、制造、维修;信息服务和进出口业务。",2017/9/30,922804490.9,False,通信设备,浙江,20000706,99034
600131.XSHG,600131,XSHG,1.0,主板,CNY,岷江水电,四川岷江水利电力股份有限公司,L,1998/4/2,,A,沪深A股,CHN,713.0,504125200.0,397438100.0,397438100.0,四川省都江堰市奎光路301号,"以水利发电为主,配套发展与水电有关的输供电业务。",2017/9/30,1071202894.0,False,水力发电,四川,19980402,44100
600132.XSHG,600132,XSHG,1.0,主板,CNY,重庆啤酒,重庆啤酒股份有限公司,L,1997/10/30,,A,沪深A股,CHN,714.0,483971200.0,483971200.0,483971200.0,重庆市九龙坡区马王乡龙泉村一号,"啤酒制造和销售,以及制造、销售生物化学原料药、片剂、颗粒剂、胶囊、口服溶剂等。",2017/9/30,1195727448.0,False,啤酒,重庆,19971030,23288
600133.XSHG,600133,XSHG,1.0,主板,CNY,东湖高新,武汉东湖高新集团股份有限公司,L,1998/2/12,,A,沪深A股,CHN,715.0,725779500.0,537948900.0,537948900.0,湖北省武汉市东湖开发区佳园路1号东湖高新大楼,公司主要从事科技工业园开发建设和高新技术产业投资经营,2017/9/30,3102885530.0,False,园区开发,湖北,19980212,94944
600135.XSHG,600135,XSHG,1.0,主板,CNY,乐凯胶片,乐凯胶片股份有限公司,L,1998/1/22,,A,沪深A股,CHN,716.0,372991800.0,368343000.0,368343000.0,河北省保定市乐凯南大街6号,"彩色胶卷、彩色相纸、彩色电影正片、感光材料、信息影像材料加工用药液及相关化学品、彩扩设备、与银盐产品相关的数码影像材料(不含化学危险品)的研制、生产、销售;本企业所需的原辅材料、机械设备、配套产品、零部件及相关技术的科研、生产、销售(国家有专项规定的除外)。经营本企业自产产品和技术的出口业务和企业所需的原辅材料、机械设备、零配件及相关技术的进口业务,但国家限定公司经营和禁止进出口的商品和技术除外。",2017/9/30,1715599927.0,False,化工原料,河北,19980122,39000
600136.XSHG,600136,XSHG,1.0,主板,CNY,当代明诚,武汉当代明诚文化股份有限公司,L,1998/3/3,,A,沪深A股,CHN,717.0,487182200.0,274495800.0,274495800.0,湖北省武汉市武昌区中南路99号保利大厦A座33楼,电视剧制作、发行及其衍生业务、艺人经纪业务,2017/9/30,2646334539.0,False,影视音像,湖北,19980303,20200
600137.XSHG,600137,XSHG,1.0,主板,CNY,浪莎股份,四川浪莎控股股份有限公司,L,1998/4/16,,A,沪深A股,CHN,718.0,97217600.0,97217600.0,97217600.0,四川省宜宾市外南街63号,"针织内衣的生产与销售,主要生产保暖内衣、美体内衣、其他功能性内衣、家居服、内裤等,另有少量其它产品如泳装、文胸、吊带衫等。",2017/9/30,474384602.2,False,服饰,四川,19980416,6094
600138.XSHG,600138,XSHG,1.0,主板,CNY,中青旅,中青旅控股股份有限公司,L,1997/12/3,,A,沪深A股,CHN,719.0,723840000.0,723840000.0,723840000.0,北京市东城区东直门南大街5号中青旅大厦,从事旅游、高科技、风险投资、证券行业的投资。,2017/9/30,7361955588.0,False,旅游服务,北京,19971203,43950
600139.XSHG,600139,XSHG,1.0,主板,CNY,西部资源,四川西部资源控股股份有限公司,L,1998/2/25,,A,沪深A股,CHN,720.0,661890500.0,661890500.0,661890500.0,四川省成都市锦江区锦江工业开发区毕升路168号,铜矿石开采、铜精矿采选、销售。,2017/9/30,1410342484.0,False,汽车整车,四川,19980225,48613
600141.XSHG,600141,XSHG,1.0,主板,CNY,兴发集团,湖北兴发化工集团股份有限公司,L,1999/6/16,,A,沪深A股,CHN,721.0,500720900.0,500720900.0,500720900.0,湖北省宜昌市兴山县古夫镇高阳大道58号,磷化工系列产品及精细化工产品生产销售。,2017/9/30,7002965228.0,False,化工原料,湖北,19990616,30100
