ListSector,ListSectorCD,TShEquity,area,code,delistDate,endDate,equType,equTypeCD,exCountryCD,exchangeCD,holders,if_index,industry,listDate,listStatusCD,nonrestFloatShares,nonrestfloatA,officeAddr,partyID,primeOperating,secFullName,secID,secShortName,stop,timeToMarket,totalShares,transCurrCD
中小板,3,4673255259,深圳,2285,,2017/9/30,沪深A股,A,CHN,XSHE,92514,0,房产服务,2009/8/28,L,1702035600,1702035600,广东省深圳市罗湖区深南东路2028号罗湖商务中心12楼,33148,房地产顾问策划、代理销售和经纪业务。,深圳世联行地产顾问股份有限公司,002285.XSHE,世联行,FALSE,20090828,2043978100,CNY
中小板,3,1520760997,山东,2286,,2017/9/30,沪深A股,A,CHN,XSHE,17970,0,食品,2009/8/28,L,288024600,288024600,山东省禹城市高新开发区东外环路1号,33163,以农副产品为原料经生物工程深加工生产、销售低聚糖、果葡糖浆、糖醇等产品。,保龄宝生物股份有限公司,002286.XSHE,保龄宝,FALSE,20090828,369256000,CNY
中小板,3,1800516402,西藏,2287,,2017/9/30,沪深A股,A,CHN,XSHE,18395,0,中成药,2009/8/28,L,406000000,406000000,北京市朝阳区望京北路9号叶青大厦D座七层,33164,由药品和药材业务构成。,西藏奇正藏药股份有限公司,002287.XSHE,奇正藏药,FALSE,20090828,406000000,CNY
中小板,3,1709655304,广东,2288,,2017/9/30,沪深A股,A,CHN,XSHE,73088,0,元器件,2009/9/3,L,659675300,659675300,广东省梅州市梅县区宪梓南路19号,33168,印制电路板、覆铜箔板的销售。,广东超华科技股份有限公司,002288.XSHE,超华科技,FALSE,20090903,931643700,CNY
中小板,3,529986094.7,深圳,2289,,2017/9/30,沪深A股,A,CHN,XSHE,23000,0,元器件,2009/9/3,L,259545200,259545200,广东省深圳市南山区粤海街道深圳市软件产业基地1栋A座13层1302,33169,LCD液晶屏及COG/TFT模组的生产和销售。,深圳市宇顺电子股份有限公司,002289.XSHE,宇顺电子,FALSE,20090903,280253700,CNY
中小板,3,1249166003,江苏,2290,,2017/9/30,沪深A股,A,CHN,XSHE,23872,0,家用电器,2009/9/3,L,164210000,164210000,江苏省苏州市工业园区后戴街108号,33174,"家电用外观部件复合材料的研发、生产和销售,产品主要应用于冰箱、洗衣机等家电制造厂商生产各类外观部件。",苏州中科创新型材料股份有限公司,002290.XSHE,中科新材,FALSE,20090903,242712300,CNY
中小板,3,1878497701,广东,2291,,2017/9/30,沪深A股,A,CHN,XSHE,33784,0,服饰,2009/9/3,L,363350000,363350000,广东省佛山市南海区桂城街道庆安路2号,33206,皮鞋皮革制品的批发、零售、进出口及相关配套业务;生产经营皮鞋皮革制品及售后服务。,星期六股份有限公司,002291.XSHE,星期六,FALSE,20090903,398921900,CNY
中小板,3,5106716466,广东,2292,,2017/9/30,沪深A股,A,CHN,XSHE,97783,0,影视音像,2009/9/10,L,759993100,759993100,广州市天河区珠江新城金穗路62号侨鑫国际金融中心37楼,33209,动漫影视片制作、发行、授权以及动漫玩具和非动漫玩具的开发、生产与销售。,奥飞娱乐股份有限公司,002292.XSHE,奥飞娱乐,FALSE,20090910,1357159500,CNY
中小板,3,3043549913,江苏,2293,,2017/9/30,沪深A股,A,CHN,XSHE,36375,0,纺织,2009/9/10,L,699273900,699273900,江苏省南通市经济技术开发区源兴路555号,33223,生产销售家用纺织品、酒店纺织品、鞋帽。,罗莱生活科技股份有限公司,002293.XSHE,罗莱生活,FALSE,20090910,704905500,CNY
中小板,3,5805895432,深圳,2294,,2017/9/30,沪深A股,A,CHN,XSHE,31030,0,化学制药,2009/9/10,L,1046016000,1046016000,广东省深圳市福田区深南大道6009号车公庙绿景广场主楼37层,33226,心血管类、头孢类抗生素、骨吸收抑制剂类等药物的研发、生产和销售。,深圳信立泰药业股份有限公司,002294.XSHE,信立泰,FALSE,20090910,1046016000,CNY
中小板,3,1122822548,广东,2295,,2017/9/30,沪深A股,A,CHN,XSHE,15511,0,铜,2009/9/29,L,194503800,194503800,广东省佛山市顺德区北?镇西海工业区,33186,从事铜加工设备、精密铜管和铜管深加工系列产品的生产和销售。,广东精艺金属股份有限公司,002295.XSHE,精艺股份,FALSE,20090929,251510000,CNY
中小板,3,1599365319,河南,2296,,2017/9/30,沪深A股,A,CHN,XSHE,53917,0,通信设备,2009/9/29,L,316273800,316273800,河南省郑州市高新技术产业开发区科学大道74号,33185,铁路信号通信领域产品的研制开发、生产及销售。,河南辉煌科技股份有限公司,002296.XSHE,辉煌科技,FALSE,20090929,376656400,CNY
中小板,3,1631426711,湖南,2297,,2017/9/30,沪深A股,A,CHN,XSHE,54924,0,矿物制品,2009/9/29,L,397259700,397259700,湖南省长沙市岳麓区雷锋大道346号,33258,粉末冶金复合材料领域的研究、开发、生产和销售。,湖南博云新材料股份有限公司,002297.XSHE,博云新材,FALSE,20090929,471315100,CNY
中小板,3,4399869083,安徽,2298,,2017/9/30,沪深A股,A,CHN,XSHE,50469,0,软件服务,2009/9/29,L,467663700,467663700,安徽省芜湖市经济技术开发区电器部件园(九华北路118),29513,"公共安全与反恐、智慧城市,输配电及控制设备制造及服务等业务。",安徽中电兴发与鑫龙科技股份有限公司,002298.XSHE,中电鑫龙,FALSE,20090929,703960700,CNY
中小板,3,5756152862,福建,2299,,2017/9/30,沪深A股,A,CHN,XSHE,30486,0,农业综合,2009/10/21,L,404502700,404502700,福建省南平市光泽县十里铺圣农总部办公大楼,34830,"肉鸡饲养和肉鸡屠宰加工,主要产品是鸡肉,并主要以分割冻鸡肉的产品形式,销售给肯德基等快餐企业,以及食品加工企业、批发市场等市场领域。",福建圣农发展股份有限公司,002299.XSHE,圣农发展,FALSE,20091021,1239480500,CNY
中小板,3,1371647715,福建,2300,,2017/9/30,沪深A股,A,CHN,XSHE,71190,0,电气设备,2009/10/21,L,541948500,541948500,福建省南平市工业路102号,33207,主要从事电线电缆的生产和销售。,福建南平太阳电缆股份有限公司,002300.XSHE,太阳电缆,FALSE,20091021,542700000,CNY
中小板,3,2413336770,深圳,2301,,2017/9/30,沪深A股,A,CHN,XSHE,11800,0,文教休闲,2009/10/21,L,372671700,372671700,广东省深圳市坪山新区锦绣中路18号齐心科技园行政大楼,34834,文件管理用品、办公设备、桌面文具等综合办公用品的研发、生产、销售。,深圳齐心集团股份有限公司,002301.XSHE,齐心集团,FALSE,20091021,427867400,CNY
中小板,3,4706761321,新疆,2302,,2017/9/30,沪深A股,A,CHN,XSHE,83614,0,水泥,2009/11/3,L,1032234100,1032234100,四川省成都市高新区交子大道177号中海国际中心B座22楼,34867,"高性能预拌砼的生产、销售及其新技术、新工艺的研究开发与推广,新型建材及化工材料的研究及生产应用。",中建西部建设股份有限公司,002302.XSHE,西部建设,FALSE,20091103,1262354400,CNY
